Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.225097442159847,3.7709465980529786,5.988,12.87,35.26956272125244
2,3.7255884895519333,3.3925578236579894,12.562,19.55,35.286673069000244
3,3.46422232900347,3.193877804279327,16.972,22.7,35.37244176864624
4,3.300505742734792,3.0190106868743896,20.048,26.05,37.17260432243347
5,3.1777908023522823,2.882806324958801,22.198,28.46,36.77706241607666
6,3.06606096394208,2.7952693462371827,24.312,30.02,35.91636776924133
7,2.99163049094531,2.6692215323448183,25.694,32.57,35.88477277755737
8,2.9163254572420705,2.605991172790527,26.976,33.48,35.81094026565552
9,2.8575224292521573,2.5777276515960694,27.956,34.12,35.804226875305176
10,2.797034679626932,2.519997477531433,29.292,34.93,36.75324559211731
11,2.748928111426684,2.490219247341156,30.066,35.94,36.165356159210205
12,2.7338263282970505,2.44058552980423,30.474,36.98,36.48382091522217
13,2.6847574467561683,2.442008006572723,31.478,37.15,36.293163537979126
14,2.6776809935667076,2.3889200329780578,31.43,37.5,36.152050495147705
15,2.6472605296543668,2.394163191318512,32.318,37.5,36.23712754249573
16,2.617963194847107,2.3560017704963685,32.872,38.93,36.08785343170166
17,2.5951167831615525,2.3026641845703124,33.186,39.54,36.30763578414917
18,2.5903769390923634,2.312295746803284,33.364,39.74,36.40142011642456
19,2.5890116813231487,2.2844988346099853,33.154,40.03,35.57638716697693
20,2.5583165348792565,2.299100089073181,34.168,40.07,35.97496461868286
