Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.169532019264844,3.699400448799133,6.864,13.82,26.964170932769775
2,3.6615105648430024,3.3325900554656984,13.81,20.35,26.660249948501587
3,3.4247270189985937,3.146337831020355,17.834,24.0,26.719204425811768
4,3.2757794857025146,3.0282743692398073,20.56,26.08,26.683159351348877
5,3.1569844630299784,2.886535274982452,22.676,29.3,26.75304913520813
6,3.073121900461158,2.8093383431434633,24.218,30.32,26.729485034942627
7,2.9924195469642174,2.719839870929718,25.76,32.15,26.66810154914856
8,2.9330133126706492,2.6521950125694276,27.066,32.94,26.745630025863647
9,2.88240693296705,2.6324583530426025,27.94,33.3,26.677638292312622
10,2.8155332584770356,2.5233106136322023,29.046,35.1,26.88343358039856
11,2.771315581944524,2.5126194834709166,29.83,35.99,26.797457456588745
12,2.7334971184633217,2.4679492712020874,30.544,36.1,26.669978857040405
13,2.694294871116171,2.4108187913894654,31.362,37.97,26.765318393707275
14,2.6696795225143433,2.3912460565567017,31.96,38.53,26.789053201675415
15,2.6404570754693477,2.3649401545524595,32.616,39.12,26.702380895614624
16,2.624529330097899,2.3635748982429505,32.66,39.03,26.568053483963013
17,2.589148117571461,2.340662693977356,33.678,39.24,26.671075105667114
18,2.5746031367048925,2.306264591217041,33.832,40.37,26.56411337852478
19,2.561246475394891,2.2977497935295106,34.034,40.77,26.58590602874756
20,2.535282010934791,2.284219002723694,34.646,40.64,26.911871433258057
